"doc_id","abstract"
"doc_033","""Driving Wheel"" , also called ""Drivin' Wheel"" or ""Driving Wheel Blues"" , is blues song first recorded by Roosevelt Sykes ( listed as ""The Honey Dripper"" ) in 1936 ."
"doc_034","Gannutz Glacier is a smooth glacier which flows north from the Bowers Mountains of Victoria Land , Antarctica and enters the eastern part of Rennick Bay between Weeder Rock and Stuhlinger Ice Piedmont ."
"doc_035","Gargoyle Ridge is a high rock ridge forming the south end of the Cobham Range in the Churchill Mountains of Antarctica ."
"doc_036","Garrard Glacier is a glacier in the Queen Alexandra Range of Antarctica , draining eastward from the névé between Mount Lockwood and Mount Kirkpatrick and entering Beardmore Glacier south of Bell Bluff ."
"doc_037","Gatson Ridge is a jagged ridge , long , that runs east from the southern part of Bowling Green Plateau in the Brown Hills of the Cook Mountains , Antarctica ."
"doc_038","Gdynia Point is the eastern point of Dufayel Island , lying in Ezcurra Inlet , Admiralty Bay , King George Island , in the South Shetland Islands ."
"doc_039","It was named in 1979 by the Polish Antarctic Expedition after Gdynia , Poland , a port city on the Baltic Sea ."
"doc_040","Chuck Compton ( born January 13 , 1965 in Atwater , California . ) was an American professional football player in the National Football League ."
"doc_041","Cape Geology is a low , gravel-covered point marking the western limit of Botany Bay , in the southern part of Granite Harbour , Victoria Land , Antarctica ."
"doc_042","Geodetic Glacier is a glacier flowing east from Bettle Peak along the north side of the Thomas Heights into Bowers Piedmont Glacier , on the Scott Coast of Victoria Land , Antarctica ."
"doc_043","Isohypsibius is a genus of water bear or moss piglet , a tardigrade in the class Eutardigrada ."
"doc_044","James Higginbotham FBA ( 17 August 1941 – 25 April 2014 ) was a distinguished professor of Linguistics and Philosophy at the University of Southern California ."
"doc_045","He taught previously at the Massachusetts Institute of Technology , Columbia University , and at the University of Oxford as a Fellow of Somerville College , Oxford ."
"doc_046","Mount Goldthwait is a prominent mountain ( 3 , 815 m ) located 2 . 5 nautical miles ( 4 . 6 km ) south of Mount Dalrymple in the north part of the Sentinel Range , Antarctica ."
"doc_047","The Goodwin Nunataks are a small group of isolated nunataks lying about west of the Marshall Mountains of Antarctica , at the south side of Walcott Neve ."
"doc_048","Gordon Peak is a rock peak marking the northwest end of the Robin Heights in the Sverdrup Mountains of Queen Maud Land , Antarctica ."
"doc_049","Eohypsibiidae is a family of water bear or moss piglet , tardigrades in the class Eutardigrada ."
"doc_050","Gould Peak is a peak standing north of Tennant Peak in the southern group of the Rockefeller Mountains , on Edward VII Peninsula in Marie Byrd Land , Antarctica ."
"doc_051","Graptolite Island is an island long in the north-east part of Fitchie Bay , lying off the south-east portion of Laurie Island in the South Orkney Islands of Antarctica ."
"doc_052","Gratton Nunatak is a bare , linear nunatak lying at the south side of the mouth of McCarthy Glacier , Antarctica , where the latter enters Reedy Glacier ."
"doc_053","Grautskåla Cirque is a cirque immediately north of The Altar in the Humboldt Mountains of Queen Maud Land , Antarctica ."
"doc_054","John Woolfe ( 23 March 1932 – 14 June 1969 ) was a British racing driver from England , who specialised in sports car racing ."
"doc_055","He was killed as a result of crashing on the first lap of the 1969 24 Hours of Le Mans race , an event which caused the traditional ""Le Mans start"" to be abolished the following year ."
"doc_056","Hailstorm Island is a rocky island , long , between Cameron Island and the east end of Burnett Island in the central part of the Swain Islands , Antarctica ."
"doc_057","Hales Peak is a peak rising from the northeast shoulder of Mount Cabeza in the northeast part of Brabant Island , Palmer Archipelago , Antarctica ."
"doc_058","Hale Glacier is a glacier about long , located just east of Mount Simpson on Thurston Island , Antarctica , and flowing southwest to the Abbot Ice Shelf in Peacock Sound ."
"doc_059","The 2011 New York Red Bulls season was the club's seventeenth year of existence , as well as its sixteenth season in Major League Soccer , the top-flight of American soccer ."
"doc_060","As this goal drifted out of reach , Backe backtracked from his Supporters' Shield emphasis and remarkably blamed international call-ups due to the 2011 CONCACAF Gold Cup as the reason the Shield was unobtainable ."
"doc_061","Constant Mews ( born 1954 ) , D ."
"doc_062","Western Cattle in Storm is a $1 stamp issued by the United States Post Office Department as part of the 1898 Trans-Mississippi Issue ."
"doc_063","""Western Cattle in Storm"" is one of nine commemorative postage stamps in the series , which marked the 1898 Trans-Mississippi Exposition held in Omaha , Nebraska ."
"doc_064","The Moore Mountains are a small but conspicuous group of mountains just north of New Year Pass in the Queen Elizabeth Range in Antarctica ."
"doc_065","Chernobyl Way ( , ) is an annual rally held on April 26 by the opposition in Belarus as a remembrance of the Chernobyl disaster ."
"doc_066","Moreton Point is a point north of Return Point at the western end of Coronation Island , in the South Orkney Islands off Antarctica ."
"doc_067","Morrell Reef is a reef reported to lie close off the southeast coast of Bouvetøya , about northward of Cape Fie ."
"doc_068","The Moss Braes are west-facing slopes ( s ) situated west of Robin Peak on Signy Island , in the South Orkney Islands off Antarctica ."
"doc_069","Moser Glacier is a glacier flowing into Andvord Bay just southeast of Arago Glacier , on the west coast of Graham Land , Antarctica ."
"doc_070","It was charted by the Belgian Antarctic Expedition under Adrien de Gerlache , 1897–99 , and was named by the UK Antarctic Place-Names Committee in 1960 for German physicist Ludwig F . Moser ( 1805–80 ) , who in 1844 invented stereoscopic photography ."
"doc_071","Maurice Brantley ( born September 19 , 1968 , in Kansas City , Missouri ) is a professional boxer in the Middleweight division ."
"doc_072","Kansas Glacier is a steep glacier , long , draining northeast from Stanford Plateau , Antarctica , to enter Reedy Glacier just north of Blubaugh Nunatak ."
"doc_073","It was mapped by the United States Geological Survey from surveys and U . S . Navy air photos , 1960–64 , and was named by the Advisory Committee on Antarctic Names for the University of Kansas , Lawrence , Kansas , which has sent a number of research personnel to Antarctica ."
"doc_074","36 Greatest Hits ! is a 2010 box set by American singer Frank Sinatra ."
"doc_075","The Toe is a point marking the south side of the entrance to Harmony Cove and the north-west side of the entrance to Varvara Cove on the west side of Nelson Island , in the South Shetland Islands ."
"doc_076","Mount Kaschak is a peak , high , standing west of Gambacorta Peak in the southern Neptune Range of the Pensacola Mountains , Antarctica ."
"doc_077","Kehle Glacier is a glacier draining the western slopes of the Worcester Range , Antarctica ."
"doc_078","Germaine Poinso-Chapuis ( 6 March 1901 , Marseille , Bouches-du-Rhône – 20 February 1981 ) was a French politician ."
"doc_079","Kelley Massif is a rugged mountain massif , long , located immediately west of the Eland Mountains and along the south side of Clifford Glacier , in Palmer Land , Antarctica ."
"doc_080","Kelley Nunatak is a nunatak on the north side of Leverett Glacier in Antarctica , northeast of Mount Gould ."
"doc_081","Mount Randall is a mountain rising to 3 , 000 m at the south end of Hackerman Ridge in the Victory Mountains , Victoria Land ."
"doc_082","Ranney Nunatak is a nunatak in the southwest extremity of Gutenko Nunataks , in the Ford Ranges of Marie Byrd Land ."
"doc_083","It was first mapped by the United States Antarctic Service ( USAS ) , 1939–41 , and named by Advisory Committee on Antarctic Names ( US-ACAN ) for Charles R . Ranney , ionospheric physicist at Byrd Station , 1969 ."
"doc_084","Mount Kendrick is a massive ice-covered mountain , high , surmounting the east side of the Nilsen Plateau at the head of Bartlett Glacier , in the Queen Maud Mountains of Antarctica ."
"doc_085","The Kester Peaks are three aligned rock peaks standing together south of Mount Malville on the east side of the Forrestal Range , in the Pensacola Mountains of Antarctica ."
"doc_086","It is known from Java , Indonesia ."
"doc_087","It is known from Java , Indonesia ."
"doc_088","Ravn Rock is a submerged rock lying in the center of Neptunes Bellows , the entrance to Port Foster , Deception Island , in the South Shetland Islands ."
"doc_089","Mount Lupa is a flat-topped , ice-covered mountain , over high , standing between Romulus Glacier and Martin Glacier close east-southeast of Black Thumb and east of the head of Rymill Bay , on the west coast of Graham Land , Antarctica ."
"doc_090","Mount Lymburner is a mountain , high , standing west-northwest of Mount Weems near the north end of the Sentinel Range in the Ellsworth Mountains of Antarctica ."
"doc_091","The American Arachnological Society ( AAS ) is a scientific organization founded in 1972 in order to promote the study of arachnids by seeking to achieve closer cooperation and understanding between amateur and professional arachnologists along with publication of the ""Journal of Arachnology . "" The society holds annual meetings around the United States and membership is open to all individuals who share the common objectives held by the society ."
"doc_092","Lystad Bay is a bay wide which indents the west side of Horseshoe Island , in the northeast part of Marguerite Bay , Antarctica ."
"doc_093","Lyons Cone is a cone shaped peak north-northeast of the Matterhorn , rising to on the ridge separating the heads of Lacroix Glacier , Newall Glacier , and Suess Glacier in the Asgard Range , Victoria Land , Antarctica ."
"doc_094","Spodnje Hoče is a settlement in and the administrative centre of the Municipality of Hoče–Slivnica in northeastern Slovenia ."
"doc_095","Lucian Flemming ( born November 19 , 1966 ) is an Anguillan football player ."
"doc_096","Carl Nielsen's Pan and Syrinx ( ""Pan og Syrinx"" ) is a symphonic poem written for a concert of the composer's works which was held on 11 February 1918 in Copenhagen ."
"doc_097","SN 1998aq is a supernova located in galaxy NGC 3982 ."
"doc_098","Murphys Ice Cream is a food company based in Dingle , County Kerry , Ireland ."
"doc_099","Louis Dufresne ( 18 January 1752 , Champien , near Peronne – 11 October 1832 ) was a French ornithologist and taxidermist ."
"doc_100","The ships went first to Madeira and Tenerife , then to Trinidad and then to the coast of Brazil ( including Santa Catarina Island ) ."
